event,year,month,day,category,description,difficulty,region,tags,source,wikipediaSlug,imageCaption
Peloponnesian War,431,,,war-politics,"
The Peloponnesian War was fought in the Eastern Mediterranean between the Athenian-led Delian League and the Spartan-led Peloponnesian League from 431 to 404 BC for hegemony over Ancient Greece. Initially inconclusive, the intervention of the Persian Empire in support of Sparta in 413 BC allowed the Spartan coalition to decisively defeat Athens, beginning a period of Spartan hegemony over Greece.",2,Europe,war;art;empire;ancient,https://en.wikipedia.org/wiki/Peloponnesian_War,Peloponnesian_War,War between Athens and Sparta (431–404 BC)
Sophocles,429,,,war-politics,"Sophocles was an ancient Greek tragedian, one of three from whom at least two plays have survived in full. His first plays were written later than, or contemporary with, those of Aeschylus and earlier than, or contemporary with, those of Euripides.",2,Global,ancient,https://en.wikipedia.org/wiki/Sophocles,Sophocles,5th-century BC Athenian tragic playwright
Plato,427,,,art-culture-religion,Plato was an ancient Greek philosopher of Classical Athens who is most commonly considered the foundational thinker of the Western philosophical tradition.,2,Global,ancient,https://en.wikipedia.org/wiki/Plato,Plato,Greek philosopher
Nanda dynasty comes to power in Magadha,424,,,war-politics,424 BC: Nanda dynasty comes to power in Magadha.,2,Global,,https://en.wikipedia.org/wiki/Nanda_dynasty,Nanda_dynasty,
End of the Peloponnesian War,404,,,war-politics,404 BC: End of the Peloponnesian War.,2,Global,war,,,
Zapotec culture flourishes around city of Monte Albán,400,,,war-politics,400 BC: Zapotec culture flourishes around city of Monte Albán .,2,Global,,https://en.wikipedia.org/wiki/Zapotec_civilization,Zapotec_civilization,
Pandya dynasty is founded in South India,400,,,war-politics,400 BC: Pandya dynasty is founded in South India .,2,Asia,,https://en.wikipedia.org/wiki/Pandya_dynasty,Pandya_dynasty,
c. 400 BC: Rise of the Garamantes as an irrigation-based desert state in the Fez,400,,,war-politics,c. 400 BC: Rise of the Garamantes as an irrigation-based desert state in the Fezzan region of Libya.,2,Global,,https://en.wikipedia.org/wiki/Garamantes,Garamantes,
Trial of Socrates,399,,,art-culture-religion,"The Trial of Socrates was held to determine the philosopher's guilt of two charges against the city of Athens: asebeia (impiety) and corruption of the youth. The accusers cited two impious acts: ""failing to acknowledge the gods of the city"" and ""introducing new deities"".",2,Global,,https://en.wikipedia.org/wiki/Trial_of_Socrates,Trial_of_Socrates,399 B.C. legal proceedings by the city of Athens against Socrates
Birth of Aristotle,384,,,war-politics,384 BC: Birth of Aristotle .,2,Global,,https://en.wikipedia.org/wiki/Aristotle,Aristotle,
Death of Democritus,370,,,war-politics,370 BC: Death of Democritus.,2,Global,,,,
